local_time,elapsed_s,sample_source,phase,state,armed,altitude_setpoint_m,altitude_m,vertical_speed_m_s,roll_deg,pitch_deg,yaw_deg,joystick_roll_pwm,joystick_pitch_pwm,joystick_throttle_pwm,joystick_yaw_pwm,output_roll_pwm,output_pitch_pwm,output_throttle_pwm,output_yaw_pwm,altitude_error_m,pitch_target_deg,pitch_error_deg
2026-08-06T16:58:13.390+03:00,2.975251,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.395+03:00,2.980661,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.447+03:00,3.031913,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.487+03:00,3.072832,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.493+03:00,3.078172,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.544+03:00,3.129369,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.590+03:00,3.175439,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.595+03:00,3.180817,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.647+03:00,3.232335,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.688+03:00,3.273238,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
2026-08-06T16:58:13.693+03:00,3.278660,V2_EXTENSION,Arming in MANUAL mode,6,0,,0.0,0.0,0.0,0.0,356.9999996891463,1500,1500,1000,1500,1500,1500,1000,1500,,-10.0,-10.0
